lon,lat
-5.841147920981111952e+01,6.230001229521371187e+01
-5.843941543422050700e+01,6.214105813589553406e+01
-5.838244573814547778e+01,6.245829476242173683e+01
-5.846627053387517492e+01,6.198143732726538957e+01
-5.838244573814547778e+01,6.245829476242173683e+01
-5.846627053387517492e+01,6.198143732726538957e+01
-5.838244573814547778e+01,6.245829476242173683e+01
-5.849206024151251881e+01,6.182115501576915051e+01
-5.835229850945299290e+01,6.261590060099779720e+01
-5.815812583131123858e+01,6.180941082503198913e+01
-5.815812583131123858e+01,6.180941082503198913e+01
-5.798673160493675027e+01,6.275854970375912956e+01
-5.798673160493675027e+01,6.275854970375912956e+01
-5.795423468933462630e+01,6.291435743262442060e+01
-5.792056835754506494e+01,6.306947154391292543e+01
-5.818291388731807956e+01,6.164888684484976977e+01
-5.751538755568795125e+01,6.336150394289641952e+01
-5.747803321184203185e+01,6.351406404105467374e+01
-5.743943048217552416e+01,6.366590932621018339e+01
-5.739955953996913252e+01,6.381703555818646123e+01
-5.739955953996913252e+01,6.381703555818646123e+01
-5.784919131913096635e+01,6.163750604675394840e+01
-5.739955953996913252e+01,6.381703555818646123e+01
-5.735840021000900890e+01,6.396743863313593437e+01
-5.698171199196435310e+01,6.409866150351652436e+01
-5.698171199196435310e+01,6.409866150351652436e+01
-5.751563467735974200e+01,6.162607951902129599e+01
-5.751563467735974200e+01,6.162607951902129599e+01
-5.636093753607618595e+01,6.583090309058944456e+01
-5.636093753607618595e+01,6.583090309058944456e+01
-5.629931602368132815e+01,6.597030943736102415e+01
-5.642095136783395759e+01,6.569072672994457207e+01
-5.623606281464152090e+01,6.610894392358392224e+01
-5.693784429414652948e+01,6.424713845691373137e+01
-5.642095136783395759e+01,6.569072672994457207e+01
-5.614491982444160811e+01,6.552632721683283989e+01
-5.583613548045500607e+01,6.622070551678497452e+01
-5.570097942353487497e+01,6.649300654021644164e+01
-5.576941348639185492e+01,6.635724687413579659e+01
-5.655874295762636450e+01,6.437539361499740664e+01
-5.620188157739781332e+01,6.538513049253610632e+01
-5.570097942353487497e+01,6.649300654021644164e+01
-5.718224643071246760e+01,6.161461288075938114e+01
-5.655874295762636450e+01,6.437539361499740664e+01
-5.570097942353487497e+01,6.649300654021644164e+01
-5.620188157739781332e+01,6.538513049253610632e+01
-5.651208688318559581e+01,6.452190919622690046e+01
-5.625730105893971711e+01,6.524316531219264448e+01
-5.536659080839412894e+01,6.646566395400817839e+01
-5.608104772292520579e+01,6.479165698151209085e+01
-5.597761395300170761e+01,6.507840479948620782e+01
-5.603006897480425863e+01,6.493541342678715012e+01
-5.536659080839412894e+01,6.646566395400817839e+01
-5.536659080839412894e+01,6.646566395400817839e+01
-5.656254316877971888e+01,6.127276638664653774e+01
-5.656254316877971888e+01,6.127276638664653774e+01
-5.622961574779932903e+01,6.126206120600117799e+01
-5.622961574779932903e+01,6.126206120600117799e+01
-5.591852214069232474e+01,6.109179978975652148e+01
-5.616666666666666430e+01,4.530119160877796958e+01
-5.591852214069232474e+01,6.109179978975652148e+01
-5.616666666666666430e+01,4.530119160877796958e+01
-5.560648070592390013e+01,6.092172844624720085e+01
-5.560648070592390013e+01,6.092172844624720085e+01
-5.527388688385956073e+01,6.091184433359565276e+01
-5.550000000000000711e+01,4.508203834542684518e+01
-5.550000000000000711e+01,4.508203834542684518e+01
-5.516666666666666430e+01,4.508203834542684518e+01
-5.494142634552568438e+01,6.090196543830342080e+01
-5.516666666666666430e+01,4.508203834542684518e+01
-5.460910064054856150e+01,6.089209770302774416e+01
-5.481706683637283106e+01,5.810573583805944509e+01
-5.482171627713998419e+01,5.793692527994149088e+01
-5.481706683637283106e+01,5.810573583805944509e+01
-5.482171627713998419e+01,5.793692527994149088e+01
-5.483333333333333570e+01,5.620462573776272563e+01
-5.481706683637283106e+01,5.810573583805944509e+01
-5.483333333333333570e+01,5.602596393940302022e+01
-5.483333333333333570e+01,5.620462573776272563e+01
-5.429624957396205787e+01,6.072352004931664027e+01
-5.449228361010969479e+01,5.776569045218326437e+01
-5.447840203172152940e+01,5.827084742764512981e+01
-5.450000000000000711e+01,5.620462573776272563e+01
-5.449228361010969479e+01,5.776569045218326437e+01
-5.450000000000000711e+01,5.602596393940302022e+01
-5.450000000000000711e+01,5.602596393940302022e+01
-5.450000000000000711e+01,5.620462573776272563e+01
-5.447840203172152940e+01,5.827084742764512981e+01
-5.447840203172152940e+01,5.827084742764512981e+01
-5.449228361010969479e+01,5.776569045218326437e+01
-5.429624957396205787e+01,6.072352004931664027e+01
-5.446516056740203027e+01,5.860511005568593390e+01
-5.450000000000000711e+01,5.691231738223390124e+01
-5.449914903812146605e+01,5.725624717396951979e+01
-5.416666666666667140e+01,4.486212352422813154e+01
-5.416657301631800436e+01,5.708530820157952945e+01
-5.412423976566869754e+01,5.876702010044657953e+01
-5.416666666666667140e+01,5.638259021782985059e+01
-5.416431073990824530e+01,5.742544271113837340e+01
-5.416203773807109911e+01,5.759483343446404291e+01
