/home/mmurakami/miniconda3/envs/py38/lib/python3.8/site-packages/shapely/geometry/point.py:70: UserWarning: Warning: converting a masked element to nan.
  coords = np.array(args).squeeze()
tmin, tmax, smin, smax sizes=, -3.3 3.63 30.69 38.38
Processing row 75001/194353 | Elapsed: 33542.54s | Estimated Remaining: 53377.54s
Processing row 76001/194353 | Elapsed: 33974.87s | Estimated Remaining: 52907.11s
Processing row 77001/194353 | Elapsed: 34406.87s | Estimated Remaining: 52437.18s
Processing row 78001/194353 | Elapsed: 34838.86s | Estimated Remaining: 51968.20s
Processing row 79001/194353 | Elapsed: 35271.22s | Estimated Remaining: 51500.69s
Processing row 80001/194353 | Elapsed: 35702.88s | Estimated Remaining: 51033.05s
Processing row 81001/194353 | Elapsed: 36135.17s | Estimated Remaining: 50567.20s
Processing row 82001/194353 | Elapsed: 36567.19s | Estimated Remaining: 50101.80s
Processing row 83001/194353 | Elapsed: 36998.78s | Estimated Remaining: 49636.61s
Processing row 84001/194353 | Elapsed: 37429.67s | Estimated Remaining: 49171.31s
Processing row 85001/194353 | Elapsed: 37859.67s | Estimated Remaining: 48705.66s
Processing row 86001/194353 | Elapsed: 38289.77s | Estimated Remaining: 48240.99s
Processing row 87001/194353 | Elapsed: 38719.81s | Estimated Remaining: 47777.02s
Processing row 88001/194353 | Elapsed: 39149.19s | Estimated Remaining: 47313.04s
Processing row 89001/194353 | Elapsed: 39578.19s | Estimated Remaining: 46849.37s
Processing row 90001/194353 | Elapsed: 40007.08s | Estimated Remaining: 46386.37s
Processing row 91001/194353 | Elapsed: 40436.08s | Estimated Remaining: 45924.22s
Processing row 92001/194353 | Elapsed: 40864.90s | Estimated Remaining: 45462.60s
Processing row 93001/194353 | Elapsed: 41293.13s | Estimated Remaining: 45001.04s
Processing row 94001/194353 | Elapsed: 41721.72s | Estimated Remaining: 44540.57s
Processing row 95001/194353 | Elapsed: 42149.75s | Estimated Remaining: 44080.19s
Processing row 96001/194353 | Elapsed: 42578.09s | Estimated Remaining: 43620.80s
Processing row 97001/194353 | Elapsed: 43006.08s | Estimated Remaining: 43161.70s
Processing row 98001/194353 | Elapsed: 43432.45s | Estimated Remaining: 42701.64s
Processing row 99001/194353 | Elapsed: 43858.10s | Estimated Remaining: 42241.57s
Processing row 100001/194353 | Elapsed: 44284.14s | Estimated Remaining: 41782.56s
Processing row 101001/194353 | Elapsed: 44709.49s | Estimated Remaining: 41323.55s
Processing row 102001/194353 | Elapsed: 45134.26s | Estimated Remaining: 40864.69s
Processing row 103001/194353 | Elapsed: 45558.08s | Estimated Remaining: 40405.64s
Processing row 104001/194353 | Elapsed: 45981.12s | Estimated Remaining: 39946.60s
Processing row 105001/194353 | Elapsed: 46404.41s | Estimated Remaining: 39488.45s
Processing row 106001/194353 | Elapsed: 46828.10s | Estimated Remaining: 39031.30s
Processing row 107001/194353 | Elapsed: 47251.89s | Estimated Remaining: 38574.85s
Processing row 108001/194353 | Elapsed: 47676.51s | Estimated Remaining: 38119.67s
Processing row 109001/194353 | Elapsed: 48100.93s | Estimated Remaining: 37664.89s
Processing row 110001/194353 | Elapsed: 48526.19s | Estimated Remaining: 37211.31s
Processing row 111001/194353 | Elapsed: 48950.60s | Estimated Remaining: 36757.60s
Processing row 112001/194353 | Elapsed: 49374.78s | Estimated Remaining: 36304.25s
Processing row 113001/194353 | Elapsed: 49798.74s | Estimated Remaining: 35851.25s
Processing row 114001/194353 | Elapsed: 50222.61s | Estimated Remaining: 35398.70s
Processing row 115001/194353 | Elapsed: 50646.29s | Estimated Remaining: 34946.52s
Processing row 116001/194353 | Elapsed: 51070.04s | Estimated Remaining: 34494.87s
Processing row 117001/194353 | Elapsed: 51494.00s | Estimated Remaining: 34043.84s
Processing row 118001/194353 | Elapsed: 51918.10s | Estimated Remaining: 33593.37s
Processing row 119001/194353 | Elapsed: 52342.33s | Estimated Remaining: 33143.41s
Processing row 120001/194353 | Elapsed: 52766.22s | Estimated Remaining: 32693.68s
Processing row 121001/194353 | Elapsed: 53189.25s | Estimated Remaining: 32243.85s
Processing row 122001/194353 | Elapsed: 53612.06s | Estimated Remaining: 31794.33s
Processing row 123001/194353 | Elapsed: 54034.35s | Estimated Remaining: 31344.94s
Processing row 124001/194353 | Elapsed: 54457.06s | Estimated Remaining: 30896.23s
Processing row 125001/194353 | Elapsed: 54879.16s | Estimated Remaining: 30447.59s
Processing row 126001/194353 | Elapsed: 55318.89s | Estimated Remaining: 30008.94s
Processing row 127001/194353 | Elapsed: 55773.32s | Estimated Remaining: 29578.07s
Processing row 128001/194353 | Elapsed: 56245.41s | Estimated Remaining: 29155.98s
Processing row 129001/194353 | Elapsed: 56734.62s | Estimated Remaining: 28741.80s
Processing row 130001/194353 | Elapsed: 57242.87s | Estimated Remaining: 28335.88s
Processing row 131001/194353 | Elapsed: 57766.67s | Estimated Remaining: 27935.93s
Processing row 132001/194353 | Elapsed: 58304.44s | Estimated Remaining: 27540.69s
Processing row 133001/194353 | Elapsed: 58862.64s | Estimated Remaining: 27152.73s
Processing row 134001/194353 | Elapsed: 59434.55s | Estimated Remaining: 26768.41s
Processing row 135001/194353 | Elapsed: 60022.81s | Estimated Remaining: 26388.50s
Processing row 136001/194353 | Elapsed: 60628.84s | Estimated Remaining: 26013.15s
Processing row 137001/194353 | Elapsed: 61248.49s | Estimated Remaining: 25640.13s
Processing row 138001/194353 | Elapsed: 61882.64s | Estimated Remaining: 25269.46s
Processing row 139001/194353 | Elapsed: 62531.25s | Estimated Remaining: 24900.75s
Processing row 140001/194353 | Elapsed: 63194.31s | Estimated Remaining: 24533.66s
Processing row 141001/194353 | Elapsed: 63876.83s | Estimated Remaining: 24169.73s
Processing row 142001/194353 | Elapsed: 64575.07s | Estimated Remaining: 23807.11s
Processing row 143001/194353 | Elapsed: 65299.10s | Estimated Remaining: 23449.06s
Processing row 144001/194353 | Elapsed: 66037.87s | Estimated Remaining: 23091.08s
Processing row 145001/194353 | Elapsed: 66794.80s | Estimated Remaining: 22734.03s
Processing row 146001/194353 | Elapsed: 67565.13s | Estimated Remaining: 22375.94s
Processing row 147001/194353 | Elapsed: 68361.04s | Estimated Remaining: 22020.48s
Processing row 148001/194353 | Elapsed: 69168.73s | Estimated Remaining: 21662.75s
Processing row 149001/194353 | Elapsed: 70002.57s | Estimated Remaining: 21306.95s
Processing row 150001/194353 | Elapsed: 70851.40s | Estimated Remaining: 20949.20s
Processing row 151001/194353 | Elapsed: 71724.61s | Estimated Remaining: 20591.95s
Processing row 152001/194353 | Elapsed: 72608.58s | Estimated Remaining: 20230.91s
Processing row 153001/194353 | Elapsed: 73513.53s | Estimated Remaining: 19868.70s
Processing row 154001/194353 | Elapsed: 74426.28s | Estimated Remaining: 19501.49s
Processing row 155001/194353 | Elapsed: 75367.01s | Estimated Remaining: 19134.34s
Processing row 156001/194353 | Elapsed: 76313.11s | Estimated Remaining: 18761.16s
Processing row 157001/194353 | Elapsed: 77283.25s | Estimated Remaining: 18386.41s
Processing row 158001/194353 | Elapsed: 78265.19s | Estimated Remaining: 18006.82s
Processing row 159001/194353 | Elapsed: 79262.46s | Estimated Remaining: 17623.07s
Processing row 160001/194353 | Elapsed: 80278.98s | Estimated Remaining: 17235.79s
Processing row 161001/194353 | Elapsed: 81316.57s | Estimated Remaining: 16845.05s
Processing row 162001/194353 | Elapsed: 82352.54s | Estimated Remaining: 16446.01s
Processing row 163001/194353 | Elapsed: 83404.12s | Estimated Remaining: 16042.15s
Processing row 164001/194353 | Elapsed: 84476.53s | Estimated Remaining: 15634.24s
Processing row 165001/194353 | Elapsed: 85569.27s | Estimated Remaining: 15221.90s
Processing row 166001/194353 | Elapsed: 86674.86s | Estimated Remaining: 14803.56s
Processing row 167001/194353 | Elapsed: 87800.14s | Estimated Remaining: 14380.21s
Processing row 168001/194353 | Elapsed: 88931.25s | Estimated Remaining: 13949.42s
Processing row 169001/194353 | Elapsed: 90084.56s | Estimated Remaining: 13513.67s
Processing row 170001/194353 | Elapsed: 91261.73s | Estimated Remaining: 13072.90s
Processing row 171001/194353 | Elapsed: 92449.26s | Estimated Remaining: 12624.93s
Processing row 172001/194353 | Elapsed: 93655.79s | Estimated Remaining: 12170.83s
Processing row 173001/194353 | Elapsed: 94876.49s | Estimated Remaining: 11709.78s
Processing row 174001/194353 | Elapsed: 96117.97s | Estimated Remaining: 11242.42s
Processing row 175001/194353 | Elapsed: 97370.11s | Estimated Remaining: 10767.40s
Processing row 176001/194353 | Elapsed: 98629.59s | Estimated Remaining: 10284.32s
Processing row 177001/194353 | Elapsed: 99919.09s | Estimated Remaining: 9795.40s
Processing row 178001/194353 | Elapsed: 101227.56s | Estimated Remaining: 9299.23s
Processing row 179001/194353 | Elapsed: 102532.60s | Estimated Remaining: 8793.70s
Processing row 180001/194353 | Elapsed: 103843.33s | Estimated Remaining: 8279.73s
Processing row 181001/194353 | Elapsed: 105168.14s | Estimated Remaining: 7758.00s
Processing row 182001/194353 | Elapsed: 106529.15s | Estimated Remaining: 7229.89s
Processing row 183001/194353 | Elapsed: 107884.72s | Estimated Remaining: 6692.35s
Processing row 184001/194353 | Elapsed: 109260.46s | Estimated Remaining: 6147.06s
Processing row 185001/194353 | Elapsed: 110657.11s | Estimated Remaining: 5593.84s
Processing row 186001/194353 | Elapsed: 112064.20s | Estimated Remaining: 5032.02s
Processing row 187001/194353 | Elapsed: 113479.08s | Estimated Remaining: 4461.46s
Processing row 188001/194353 | Elapsed: 114909.02s | Estimated Remaining: 3882.44s
Processing row 189001/194353 | Elapsed: 116350.75s | Estimated Remaining: 3294.74s
Processing row 190001/194353 | Elapsed: 117805.83s | Estimated Remaining: 2698.36s
Processing row 191001/194353 | Elapsed: 119268.55s | Estimated Remaining: 2093.12s
Processing row 192001/194353 | Elapsed: 120757.84s | Estimated Remaining: 1479.28s
Processing row 193001/194353 | Elapsed: 122254.95s | Estimated Remaining: 856.41s
Processing row 194001/194353 | Elapsed: 123771.24s | Estimated Remaining: 224.57s
Categorization complete! Saved to /scratch/mmurakami/WAOM/categorized.nc
